method,group,accuracy,precision,recall,f1,fdr,far
Proposed,A,0.9741,0.9608,0.9863,0.9734,0.9863,0.0372
Proposed,B,0.9622,0.9839,0.9540,0.9687,0.9540,0.0248
Proposed,C,0.9534,0.9616,0.9543,0.9579,0.9543,0.0476
Proposed,D,0.9571,0.9676,0.9702,0.9689,0.9702,0.0719
GEL,A,0.8562,0.9329,0.7548,0.8345,0.7548,0.0501
GEL,B,0.7997,0.9178,0.7400,0.8194,0.7400,0.1054
GEL,C,0.7774,0.8854,0.7321,0.8014,0.7321,0.1506
GEL,D,0.7362,0.9492,0.6519,0.7730,0.6519,0.0773
D3R,A,0.8433,0.8335,0.8417,0.8376,0.8417,0.1552
D3R,B,0.7986,0.9269,0.7293,0.8163,0.7293,0.0914
D3R,C,0.8401,0.8698,0.8374,0.8533,0.8374,0.1565
D3R,D,0.8581,0.9239,0.8653,0.8936,0.8653,0.1578
OSSC+EVT,A,0.9275,0.9162,0.9345,0.9253,0.9345,0.0789
OSSC+EVT,B,0.9248,0.9465,0.9301,0.9382,0.9301,0.0836
OSSC+EVT,C,0.9213,0.9240,0.9352,0.9296,0.9352,0.0960
OSSC+EVT,D,0.8379,0.9365,0.8204,0.8746,0.8204,0.1232
OpenMax,A,0.7342,0.6498,0.9678,0.7775,0.9678,0.4816
OpenMax,B,0.7513,0.7534,0.8841,0.8136,0.8841,0.4597
OpenMax,C,0.5389,0.5821,0.6012,0.5915,0.6012,0.5388
OpenMax,D,0.6181,0.7406,0.6859,0.7122,0.6859,0.5319
USAD,A,0.9072,0.9403,0.8613,0.8991,0.8613,0.0505
USAD,B,0.9465,0.9651,0.9471,0.9560,0.9471,0.0544
USAD,C,0.9131,0.9552,0.8849,0.9187,0.8849,0.0518
USAD,D,0.9250,0.9743,0.9153,0.9439,0.9153,0.0535
GANomaly,A,0.9336,0.9204,0.9433,0.9317,0.9433,0.0754
GANomaly,B,0.9188,0.9523,0.9134,0.9325,0.9134,0.0727
GANomaly,C,0.8838,0.9324,0.8525,0.8907,0.8525,0.0771
GANomaly,D,0.8986,0.9654,0.8845,0.9232,0.8845,0.0703
DAGMM,A,0.9151,0.9388,0.8806,0.9087,0.8806,0.0530
DAGMM,B,0.9485,0.9621,0.9537,0.9579,0.9537,0.0596
DAGMM,C,0.9030,0.9568,0.8643,0.9082,0.8643,0.0488
DAGMM,D,0.9437,0.9764,0.9409,0.9584,0.9409,0.0503
VAE,A,0.8904,0.9001,0.8680,0.8837,0.8680,0.0889
VAE,B,0.8984,0.9349,0.8970,0.9155,0.8970,0.0993
VAE,C,0.8821,0.9104,0.8737,0.8917,0.8737,0.1074
VAE,D,0.8887,0.9519,0.8831,0.9162,0.8831,0.0989
TCDL,A,0.9228,0.9440,0.8921,0.9173,0.8921,0.0488
TCDL,B,0.9048,0.9659,0.8759,0.9187,0.8759,0.0492
TCDL,C,0.9474,0.9538,0.9512,0.9525,0.9512,0.0575
TCDL,D,0.9696,0.9681,0.9883,0.9781,0.9883,0.0719
